file,IoU,Dice,IoU@50,IoU@75,mAP@50-95
103_jpeg.rf.450f333b0daec838be8239921334d6ef,0.6782197335392933,0.808260944601047,0.6782197335392933,0.0,0.27128789341571735
109_jpeg.rf.42dcf45f2319afcbe5a92dc9b017efc3,0.5880445955562584,0.7405895239992033,0.5880445955562584,0.0,0.11760891911125168
113_jpeg.rf.d72d384741859ef566267ae11f2301b0,0.5497042106484167,0.7094311377245509,0.5497042106484167,0.0,0.054970421064841665
117_jpeg.rf.f307d7b80f4cfa53442d7ed6605b414e,0.4691989551589029,0.6387139788132454,0.0,0.0,0.0
153_jpg.rf.b0c0fcca066d521ba700557078b0fee6,0.01901834273553356,0.03732679175230392,0.0,0.0,0.0
155_jpeg.rf.8dcf58edbe54faac429dc26cd2a027b2,0.7876375847273179,0.8812049953038578,0.7876375847273179,0.7876375847273179,0.4725825508363908
157_jpeg.rf.e161786185ea50ca4853440b1caa303a,0.36432214194645135,0.5340705552527062,0.0,0.0,0.0
172_jpeg.rf.684e9960d8f3cb6588fac9ff5c6918c5,0.7327613104524181,0.845772935986315,0.7327613104524181,0.0,0.36638065522620905
185_jpeg.rf.a744105f063ee133e9af483a0b85628a,0.6424441363177603,0.7823025722604765,0.6424441363177603,0.0,0.1927332408953281
191_jpg.rf.170aaec8b9b57c3fab678ee301265dfc,0.9163547971745226,0.9563519224369078,0.9163547971745226,0.9163547971745226,0.8247193174570704
214_jpeg.rf.e09c04cf9048d65959c3123a51803650,0.5819411296738266,0.7357304500880061,0.5819411296738266,0.0,0.11638822593476532
219_jpg.rf.563992bfac9e574cc415e3ed44262b7a,0.7111547085201794,0.8311986110656141,0.7111547085201794,0.0,0.3555773542600897
223_jpeg.rf.8ce0c3bbd61a0e8cbd0acee93cf80aa4,0.4218694572543455,0.5934011102101915,0.0,0.0,0.0
244_jpg.rf.b134a1ed1ba1ab1efa9d8c2c3d6c715c,0.27492422380601295,0.4312793163271863,0.0,0.0,0.0
267_jpeg.rf.9a742ffa32be6c547f83e8cf4d3a9628,0.3470403835515397,0.5152635181382614,0.0,0.0,0.0
278_jpg.rf.d01f04f3eb121aea47707f48e5377ade,0.316046152016177,0.48029645697758494,0.0,0.0,0.0
28_jpg.rf.b65189e47ee656c3bbf3244f3d37935b,0.14733313902652287,0.2568271306998603,0.0,0.0,0.0
290_jpeg.rf.5d017d61acf57860bd4bd8d75fa8f7a5,0.6684693036670787,0.801296496372897,0.6684693036670787,0.0,0.2673877214668315
295_jpeg.rf.4bb9c05a9b10d10957779512f56c7f0c,0.31244072764893527,0.4761216580174736,0.0,0.0,0.0
311_jpeg.rf.d4eb78bd8e75a90acb0afc78b03cae4c,0.4223932373106722,0.5939190741785214,0.0,0.0,0.0
5524300-PPT_jpg.rf.3781d733f6f3b5aa0730bf8f59788f68,0.7658384071087708,0.867393532755568,0.7658384071087708,0.7658384071087708,0.4595030442652625
5539877-PPT_jpg.rf.37d16bf9846f6c8d378e8053bce9b80b,0.7808257134940426,0.8769254706706083,0.7808257134940426,0.7808257134940426,0.4684954280964256
96_jpg.rf.e9a2bc5bd47197be0f22897c6a34f3ff,0.8163625849172911,0.89889826149933,0.8163625849172911,0.8163625849172911,0.5714538094421038
ugr_zoo1_png.rf.421a36bc9bf130f6f5b8e751421d3b1a,0.3102641610760099,0.4735902427816021,0.0,0.0,0.0
web24_jpg.rf.2f48274640725fc910900ad889f1ff2d,0.7483879712642565,0.8560891330350419,0.7483879712642565,0.0,0.37419398563212825
web25_jpg.rf.f8eb6bafdc6f15b158422c2402a01fd7,0.6504857486953031,0.7882355230386052,0.6504857486953031,0.0,0.2601942994781212
web27_png.rf.c331a77fae41b3fdd8fe8770884680b2,0.7499950603623718,0.8571396312479536,0.7499950603623718,0.0,0.3749975301811859
