file,IoU,Dice,IoU@50,IoU@75,mAP@50-95
103_jpeg.rf.450f333b0daec838be8239921334d6ef,0.6593972436771165,0.7947430866112987,0.6593972436771165,0.0,0.2637588974708466
109_jpeg.rf.42dcf45f2319afcbe5a92dc9b017efc3,0.5725337473357367,0.7281671993440538,0.5725337473357367,0.0,0.11450674946714734
113_jpeg.rf.d72d384741859ef566267ae11f2301b0,0.5271493212669683,0.6903703703703704,0.5271493212669683,0.0,0.05271493212669683
117_jpeg.rf.f307d7b80f4cfa53442d7ed6605b414e,0.4787783516730294,0.6475322703113136,0.0,0.0,0.0
153_jpg.rf.b0c0fcca066d521ba700557078b0fee6,0.009691551975926008,0.019197054698457224,0.0,0.0,0.0
155_jpeg.rf.8dcf58edbe54faac429dc26cd2a027b2,0.7440335242031544,0.8532330530092326,0.7440335242031544,0.0,0.3720167621015772
157_jpeg.rf.e161786185ea50ca4853440b1caa303a,0.4268556329570022,0.5983164983164984,0.0,0.0,0.0
172_jpeg.rf.684e9960d8f3cb6588fac9ff5c6918c5,0.7819877586709414,0.8776578344782466,0.7819877586709414,0.7819877586709414,0.46919265520256487
185_jpeg.rf.a744105f063ee133e9af483a0b85628a,0.6189517632147916,0.7646327423440018,0.6189517632147916,0.0,0.1856855289644375
191_jpg.rf.170aaec8b9b57c3fab678ee301265dfc,0.8112422600619195,0.8957854815447893,0.8112422600619195,0.8112422600619195,0.5678695820433436
214_jpeg.rf.e09c04cf9048d65959c3123a51803650,0.5743227862508536,0.7296124927703875,0.5743227862508536,0.0,0.11486455725017072
219_jpg.rf.563992bfac9e574cc415e3ed44262b7a,0.6426564495530013,0.7824599595708288,0.6426564495530013,0.0,0.19279693486590038
223_jpeg.rf.8ce0c3bbd61a0e8cbd0acee93cf80aa4,0.27364566233110243,0.4297045409478485,0.0,0.0,0.0
244_jpg.rf.b134a1ed1ba1ab1efa9d8c2c3d6c715c,0.24990095087163233,0.39987320706870594,0.0,0.0,0.0
267_jpeg.rf.9a742ffa32be6c547f83e8cf4d3a9628,0.42333977120784433,0.5948541307864934,0.0,0.0,0.0
278_jpg.rf.d01f04f3eb121aea47707f48e5377ade,0.14647388610209502,0.2555206671127812,0.0,0.0,0.0
28_jpg.rf.b65189e47ee656c3bbf3244f3d37935b,0.03283049363593508,0.0635738271443941,0.0,0.0,0.0
290_jpeg.rf.5d017d61acf57860bd4bd8d75fa8f7a5,0.5919005679479793,0.7436401240951396,0.5919005679479793,0.0,0.11838011358959585
295_jpeg.rf.4bb9c05a9b10d10957779512f56c7f0c,0.21645292461682827,0.35587554641295965,0.0,0.0,0.0
311_jpeg.rf.d4eb78bd8e75a90acb0afc78b03cae4c,0.3094293854920684,0.4726171398326889,0.0,0.0,0.0
5524300-PPT_jpg.rf.3781d733f6f3b5aa0730bf8f59788f68,0.5177453027139874,0.6822558459422283,0.5177453027139874,0.0,0.05177453027139874
5539877-PPT_jpg.rf.37d16bf9846f6c8d378e8053bce9b80b,0.7511128567687877,0.8578691588785047,0.7511128567687877,0.7511128567687877,0.45066771406127265
96_jpg.rf.e9a2bc5bd47197be0f22897c6a34f3ff,0.7753806904249382,0.873481045058962,0.7753806904249382,0.7753806904249382,0.46522841425496286
ugr_zoo1_png.rf.421a36bc9bf130f6f5b8e751421d3b1a,0.23926495055427813,0.38614010740360827,0.0,0.0,0.0
web24_jpg.rf.2f48274640725fc910900ad889f1ff2d,0.6705711519845111,0.802804658978965,0.6705711519845111,0.0,0.26822846079380447
web25_jpg.rf.f8eb6bafdc6f15b158422c2402a01fd7,0.6582673122065728,0.7939218331821902,0.6582673122065728,0.0,0.2633069248826291
web27_png.rf.c331a77fae41b3fdd8fe8770884680b2,0.8006632499246307,0.8892981516206804,0.8006632499246307,0.8006632499246307,0.5604642749472415
