file,IoU,Dice,IoU@50,IoU@75,mAP@50-95
103_jpeg.rf.450f333b0daec838be8239921334d6ef,0.7867940624466815,0.8806768267063901,0.7867940624466815,0.7867940624466815,0.47207643746800887
109_jpeg.rf.42dcf45f2319afcbe5a92dc9b017efc3,0.5229902991655926,0.6867939992160496,0.5229902991655926,0.0,0.052299029916559256
113_jpeg.rf.d72d384741859ef566267ae11f2301b0,0.5108562762121424,0.6762473496061541,0.5108562762121424,0.0,0.051085627621214234
117_jpeg.rf.f307d7b80f4cfa53442d7ed6605b414e,0.4828906436946638,0.6512828788123285,0.0,0.0,0.0
153_jpg.rf.b0c0fcca066d521ba700557078b0fee6,0.00319857375072099,0.006376750993100565,0.0,0.0,0.0
155_jpeg.rf.8dcf58edbe54faac429dc26cd2a027b2,0.7351118296954998,0.8473365429414506,0.7351118296954998,0.0,0.3675559148477499
157_jpeg.rf.e161786185ea50ca4853440b1caa303a,0.38854791933634586,0.5596463959588109,0.0,0.0,0.0
172_jpeg.rf.684e9960d8f3cb6588fac9ff5c6918c5,0.6603462489694971,0.7954319761668321,0.6603462489694971,0.0,0.26413849958779884
185_jpeg.rf.a744105f063ee133e9af483a0b85628a,0.5533193707077103,0.7124347782460365,0.5533193707077103,0.0,0.11066387414154207
191_jpg.rf.170aaec8b9b57c3fab678ee301265dfc,0.8774607257260505,0.9347313780816581,0.8774607257260505,0.8774607257260505,0.7019685805808404
214_jpeg.rf.e09c04cf9048d65959c3123a51803650,0.5039888062818478,0.6702028687670967,0.5039888062818478,0.0,0.05039888062818478
219_jpg.rf.563992bfac9e574cc415e3ed44262b7a,0.6152093009837579,0.7617703793670072,0.6152093009837579,0.0,0.18456279029512737
223_jpeg.rf.8ce0c3bbd61a0e8cbd0acee93cf80aa4,0.5064295156832112,0.6723573992820103,0.5064295156832112,0.0,0.05064295156832112
244_jpg.rf.b134a1ed1ba1ab1efa9d8c2c3d6c715c,0.27483035163479336,0.43116380353254297,0.0,0.0,0.0
267_jpeg.rf.9a742ffa32be6c547f83e8cf4d3a9628,0.2950864671973648,0.4557015684612124,0.0,0.0,0.0
278_jpg.rf.d01f04f3eb121aea47707f48e5377ade,0.3898616102148482,0.5610078116404444,0.0,0.0,0.0
28_jpg.rf.b65189e47ee656c3bbf3244f3d37935b,0.08711815096169387,0.16027356526910497,0.0,0.0,0.0
290_jpeg.rf.5d017d61acf57860bd4bd8d75fa8f7a5,0.6277435015677152,0.7713051853232672,0.6277435015677152,0.0,0.18832305047031456
295_jpeg.rf.4bb9c05a9b10d10957779512f56c7f0c,0.4950752858598438,0.6622747236104801,0.0,0.0,0.0
311_jpeg.rf.d4eb78bd8e75a90acb0afc78b03cae4c,0.5213332697231366,0.6853636610708088,0.5213332697231366,0.0,0.05213332697231367
5524300-PPT_jpg.rf.3781d733f6f3b5aa0730bf8f59788f68,0.8018079481494116,0.8900037864445286,0.8018079481494116,0.8018079481494116,0.5612655637045881
5539877-PPT_jpg.rf.37d16bf9846f6c8d378e8053bce9b80b,0.7623083131557707,0.8651247996336158,0.7623083131557707,0.7623083131557707,0.4573849878934625
96_jpg.rf.e9a2bc5bd47197be0f22897c6a34f3ff,0.8595809857228817,0.9244888954257979,0.8595809857228817,0.8595809857228817,0.6876647885783054
ugr_zoo1_png.rf.421a36bc9bf130f6f5b8e751421d3b1a,0.32806484052292295,0.4940494326975,0.0,0.0,0.0
web24_jpg.rf.2f48274640725fc910900ad889f1ff2d,0.7192410420063131,0.8366959890242919,0.7192410420063131,0.0,0.35962052100315656
web25_jpg.rf.f8eb6bafdc6f15b158422c2402a01fd7,0.6783331286585615,0.8083414634146342,0.6783331286585615,0.0,0.27133325146342463
web27_png.rf.c331a77fae41b3fdd8fe8770884680b2,0.7113303498779495,0.8313185702908629,0.7113303498779495,0.0,0.35566517493897476
