file,IoU,Dice,IoU@50,IoU@75,mAP@50-95
103_jpeg.rf.450f333b0daec838be8239921334d6ef,0.8423187982016886,0.9144115546385208,0.8423187982016886,0.8423187982016886,0.5896231587411821
109_jpeg.rf.42dcf45f2319afcbe5a92dc9b017efc3,0.6002099064961971,0.7501639679389444,0.6002099064961971,0.0,0.18006297194885912
113_jpeg.rf.d72d384741859ef566267ae11f2301b0,0.6096673087596722,0.7575072257999087,0.6096673087596722,0.0,0.18290019262790166
117_jpeg.rf.f307d7b80f4cfa53442d7ed6605b414e,0.5075642078104844,0.6733566705562039,0.5075642078104844,0.0,0.05075642078104844
153_jpg.rf.b0c0fcca066d521ba700557078b0fee6,0.02243201108609042,0.04387971198644642,0.0,0.0,0.0
155_jpeg.rf.8dcf58edbe54faac429dc26cd2a027b2,0.7995571021828535,0.8886154278883341,0.7995571021828535,0.7995571021828535,0.4797342613097121
157_jpeg.rf.e161786185ea50ca4853440b1caa303a,0.4806936560414197,0.6492817120950415,0.0,0.0,0.0
172_jpeg.rf.684e9960d8f3cb6588fac9ff5c6918c5,0.7607258188528372,0.8641048034934498,0.7607258188528372,0.7607258188528372,0.45643549131170236
185_jpeg.rf.a744105f063ee133e9af483a0b85628a,0.645973032730436,0.7849132639297963,0.645973032730436,0.0,0.1937919098191308
191_jpg.rf.170aaec8b9b57c3fab678ee301265dfc,0.8912990091093407,0.9425257506258361,0.8912990091093407,0.8912990091093407,0.7130392072874725
214_jpeg.rf.e09c04cf9048d65959c3123a51803650,0.5847037965397077,0.7379344932680066,0.5847037965397077,0.0,0.11694075930794154
219_jpg.rf.563992bfac9e574cc415e3ed44262b7a,0.7357485660774904,0.8477593822706275,0.7357485660774904,0.0,0.3678742830387452
223_jpeg.rf.8ce0c3bbd61a0e8cbd0acee93cf80aa4,0.6624115443318995,0.7969284700776229,0.6624115443318995,0.0,0.2649646177327598
244_jpg.rf.b134a1ed1ba1ab1efa9d8c2c3d6c715c,0.3000964940495336,0.4616526472043543,0.0,0.0,0.0
267_jpeg.rf.9a742ffa32be6c547f83e8cf4d3a9628,0.2668189554779181,0.42124244245659936,0.0,0.0,0.0
278_jpg.rf.d01f04f3eb121aea47707f48e5377ade,0.36597178353337545,0.5358409125944196,0.0,0.0,0.0
28_jpg.rf.b65189e47ee656c3bbf3244f3d37935b,0.13004178391745544,0.23015393902807124,0.0,0.0,0.0
290_jpeg.rf.5d017d61acf57860bd4bd8d75fa8f7a5,0.6889314853042368,0.8158193405697989,0.6889314853042368,0.0,0.2755725941216947
295_jpeg.rf.4bb9c05a9b10d10957779512f56c7f0c,0.4898737892574112,0.6576044129235619,0.0,0.0,0.0
311_jpeg.rf.d4eb78bd8e75a90acb0afc78b03cae4c,0.47283907130605246,0.6420783920225017,0.0,0.0,0.0
5524300-PPT_jpg.rf.3781d733f6f3b5aa0730bf8f59788f68,0.840183453871935,0.9131518404907976,0.840183453871935,0.840183453871935,0.5881284177103545
5539877-PPT_jpg.rf.37d16bf9846f6c8d378e8053bce9b80b,0.8503500583430572,0.9191234431656945,0.8503500583430572,0.8503500583430572,0.6802800466744457
96_jpg.rf.e9a2bc5bd47197be0f22897c6a34f3ff,0.8212869231997445,0.9018753857375301,0.8212869231997445,0.8212869231997445,0.5749008462398212
ugr_zoo1_png.rf.421a36bc9bf130f6f5b8e751421d3b1a,0.2639814785698563,0.41769833347327306,0.0,0.0,0.0
web24_jpg.rf.2f48274640725fc910900ad889f1ff2d,0.7399956865282434,0.8505718632035608,0.7399956865282434,0.0,0.3699978432641217
web25_jpg.rf.f8eb6bafdc6f15b158422c2402a01fd7,0.7021932050900562,0.8250452451464297,0.7021932050900562,0.0,0.3510966025450281
web27_png.rf.c331a77fae41b3fdd8fe8770884680b2,0.7853868911204633,0.8797946204562693,0.7853868911204633,0.7853868911204633,0.471232134672278
